LOC,FREQ,LAT,LON
Paris,552,48.853408154,2.348798511
France,305,45.99999986,1.999998463
Amérique,209,14.932997179,10.160298835
mer,203,47.705546513,1.506207781
île,194,47.204907439,-1.548499151
détroit,184,42.331425901,-83.045748759
Europe,178,48.69095907,9.140617319
Afrique,140,7.188099945,21.093748124
Yégor,128,65.428726796,53.599237156
Australie,95,-24.999996252,134.999997326
Bornéo,87,0.999997064,113.999996321
Aventures,85,20.36652602,-87.332338376
Sibérie,81,52.748325527,6.522218671
Chine,75,34.999996976,104.999998462
Thomas,70,35.744217436,-98.747577912
Lussan,69,44.15162688,4.364979599
Nadège,69,50.10782934,1.836248993
Océan,68,34.711829048,-76.991329015
Asie,67,29.840637807,89.296877923
Océanie,66,-18.312806659,138.515616357
Angleterre,66,52.160448194,-0.703118668
Sumatra,63,-3.19799954696e-06,101.999997675
Guyane,62,4.999998113,-58.999999527
Havre,57,49.493795828,0.107668884
Russie,54,59.999999029,99.999997151
Berlin,50,52.524366901,13.410526917
côtes,46,39.070097304,-0.574488583
Ladislas,45,47.183417346,-75.365947248
Dimanche,43,6.483327485,18.299995536
Tarn,42,44.086697642,1.042609419
Seine,42,49.43471607,0.117496012
Rio,40,-22.902777354,-43.20749892
États-Unis,40,3.437066304,-53.396889735
Madère,39,32.666666031,-16.749999702
Égypte,39,,
Marseille,39,43.296945723,5.381065934
Chronique,39,45.521746299,-73.593999987
Madagascar,39,-19.999999441,46.999996759
Mississipi,39,32.7504081,-89.750356306
Prix,38,44.526245637,2.016156529
Étranger,38,47.300136988,-78.5995988
Sénégal,38,13.999995972,-13.999996732
Inde,36,19.999997544,76.999995622
Yakoutsk,36,62.033886047,129.733057203
Friquet,35,49.490826091,-2.531387432
Somme,35,52.583298172,-102.967649931
Brazza,35,16.788259047,-99.797829714
Anne-Marie,34,-14.797376611,-39.052068164
Cécile,34,36.700778553,-119.717638573
Japon,34,35.685358159,139.753087546
Nil,33,30.166669876,31.099996191
Sandwich,33,41.645857737,-88.621739457
Espagne,33,39.999998287,-3.99999861
Pacifique,32,48.440029836,1.465697875
Congo,31,-0.99999896,14.99999737
Départements,30,20.552719497,-97.432776584
Atlantique,29,40.641767338,-73.170668552
Nouvelle-Guinée,28,-4.999995509,139.999998636
Yermac,28,52.039615917,76.930908753
Ficel,28,33.832427084,-117.953889584
Maubeuge,27,50.278746673,3.972668412
Allemagne,27,51.499996802,10.499996191
Brésil,26,-9.99999682,-54.999998479
Manche,25,-4.366667709,-79.749998216
Luli,24,41.829859909,44.142637815
Soudan,24,17.99999702,-1.999998086
Londres,24,51.508528044,-0.125738904
Méditerranée,24,43.092857333,-0.0540467659995
Sydney,24,-33.867849837,151.207316123
Vienne,24,48.208489383,16.372078615
Robida,23,45.568587142,24.649917557
Aden,23,12.779438782,45.03666798
Muda,23,-22.937887739,-43.243608216
—,23,,
Hollande,23,50.649999728,3.683326088
Alexandrie,23,,
Pierre,22,44.368318651,-100.35096563
Sa,22,-29.999997562,134.999997326
Indes,22,22.810785621,86.154586264
Victoria,22,48.432938466,-123.369298532
Obock,22,11.963058225,43.290557426
Niger,21,17.99999702,8.999995798
côte,21,51.516676821,-101.800925964
Orient,21,45.467337127,-122.352586753
Yakoute,21,31.091747286,29.727887949
Gibraltar,21,36.144735895,-5.352569586
Coumassie,21,19.516668434,-72.549998129
Imp,21,-22.719459122,-47.642975825
Turquie,21,39.059005789,34.911549462
Algérie,20,27.999999641,2.999998725
Êtres,20,47.616929996,-0.557599865
Kiang,20,48.211009159,16.374647887
Elmina,20,5.089805643,-1.34803744
Timbo,20,-26.823328953,-49.271669299
Marine,20,37.462889425,-81.630655831
Macao,20,22.200558771,113.546108098
Italie,20,42.833329363,12.833327136
A,20,,
Vallon,19,44.733326261,2.649997283
Melbourne,19,-37.813999664,144.963319202
Maroni,18,5.499998244,-54.033326759
Seine-et-Marne,18,48.385967134,2.957216521
Junon,18,38.999998025,21.999999205
Egypte,18,26.999999379,29.999996802
Sahara,18,25.999999117,12.999996846
New-York,17,40.714269404,-74.005969929
Atchin,17,-15.949998829,167.333327135
Khartoum,17,15.551768771,32.532408082
Okhotsk,17,59.364358435,143.291938016
Géographie,17,,
Cochinchine,17,43.256867779,5.394105777
Ohio,17,40.250338072,-83.000176802
Seine-Inférieure,17,,
San,16,32.730069905,-117.195139914
Grand,16,51.199999423,4.466666076
Caire,16,30.062625608,31.249666409
Tchouktchas,16,,
Nouvelle-Calédonie,16,-21.499999834,165.499996321
Mexique,16,22.999998331,-101.999997299
Bartavelle,16,39.89121594,-76.068276425
