LOC,FREQ,LAT,LON
Ja,664,26.19750909,127.676276217
France,519,45.99999986,1.999998463
Paris,388,48.853408154,2.348798511
Article,314,38.766675729,-121.226656166
Roger,161,18.298329547,-72.72138792
Morgan,150,41.036058349,-111.676879093
Europe,145,48.69095907,9.140617319
Afrique,136,7.188099945,21.093748124
Jes,132,4.603515796,-74.070795677
mer,123,47.705546513,1.506207781
Amérique,123,14.932997179,10.160298835
île,111,47.204907439,-1.548499151
Chine,106,34.999996976,104.999998462
Saranga,105,33.493247182,66.537627531
Gracieusa,103,22.883328184,-82.499996687
Angleterre,98,52.160448194,-0.703118668
Pageno,95,2.525249216,31.564458475
Congo,95,-0.99999896,14.99999737
Kwang,76,5.767468009,10.058319884
Chicago,65,41.850027119,-87.650046183
Soudan,63,17.99999702,-1.999998086
Li-Wang,63,1.824116933,103.304737896
Londres,63,51.508528044,-0.125738904
Dumas,58,35.865589666,-101.973238173
Asie,54,29.840637807,89.296877923
Tonkin,54,39.939087192,-116.411457956
Batavia,53,-6.214617726,106.845127229
Niger,53,17.99999702,8.999995798
Madagascar,52,-19.999999441,46.999996759
Guyane,51,4.999998113,-58.999999527
Allemagne,48,51.499996802,10.499996191
Saint-Furcy,48,48.877508016,2.704298465
Océan,48,34.711829048,-76.991329015
porte,47,44.887136113,7.26981833
Sud,46,2.499997457,11.749998768
Lao-Tsin,44,3.134499653,98.224999161
Italie,43,42.833329363,12.833327136
Prix,43,44.526245637,2.016156529
Espagne,43,39.999998287,-3.99999861
Rejane,43,-29.630706332,-51.011358922
Mexique,42,22.999998331,-101.999997299
République,42,18.999997282,-70.666667752
Loïse,41,48.51842638,0.568338005
Nord,41,13.588089024,-2.42119671
Pays,40,48.853408154,2.348798511
Algérie,39,27.999999641,2.999998725
Etats-Unis,39,,
Russie,38,59.999999029,99.999997151
Réjane,38,,
Societe,37,-34.965009978,-54.953526603
Je,37,35.433938469,66.716099693
Sahara,37,25.999999117,12.999996846
Dimanche,37,6.483327485,18.299995536
Japon,37,35.685358159,139.753087546
Saint-Joseph,36,39.76860632,-94.846626574
États-Unis,36,3.437066304,-53.396889735
Bordeaux,36,44.840439257,-0.58049555
Californie,35,37.250215797,-119.75125959
Alpes,33,46.416667385,9.99999606
Haïl,33,27.521876569,41.690728892
Image,32,45.609007055,-122.582039392
Étoile-Blanche,32,46.51950576,6.637858409
Damas,31,33.510197178,36.291275528
Bagdad,31,33.34057573,44.400878899
Rome,30,41.894739652,12.483897144
Algerie,30,,
Amerique,30,,
Brazzaville,29,-4.266128631,15.283179741
Alger,29,36.752496963,3.041966501
Saint-Louis,29,38.6272691,-90.197886593
Chronique,29,45.521746299,-73.593999987
Yola,29,9.199997414,12.483325695
Java,28,-7.491667404,110.004436379
Pacifique,28,48.440029836,1.465697875
A,28,,
Sophie,28,18.21805667,-72.776939991
Ie,28,33.751389275,132.701389799
Yen,27,1.715726052,10.15370692
