LOC,FREQ,LAT,LON
Paris,466,48.853408154,2.348798511
France,448,45.99999986,1.999998463
Afrique,237,7.188099945,21.093748124
Madagascar,223,-19.999999441,46.999996759
Europe,190,48.69095907,9.140617319
Angleterre,149,52.160448194,-0.703118668
île,132,47.204907439,-1.548499151
El,125,27.96203651,86.933696627
Congo,121,-0.99999896,14.99999737
mer,118,47.705546513,1.506207781
Chine,117,34.999996976,104.999998462
Maurice,101,-20.29999682,57.583327616
Ja,93,26.19750909,127.676276217
Asie,89,29.840637807,89.296877923
Amérique,86,14.932997179,10.160298835
Birmanie,78,21.999998069,97.999996627
Jean,74,,
Soudan,68,17.99999702,-1.999998086
Carmenito,65,44.030637117,28.647659806
Rajah,64,57.479385703,-4.227016965
Russie,63,59.999999029,99.999997151
I',61,,
Malgaches,60,-19.999999441,46.999996759
San,59,32.730069905,-117.195139914
détroit,57,42.331425901,-83.045748759
Inde,55,19.999997544,76.999995622
Pola,53,44.868327782,13.848059091
Allemagne,53,51.499996802,10.499996191
Willigo,52,60.158609955,25.11360591
Tom,52,33.735946646,-94.572987856
Espagne,52,39.999998287,-3.99999861
Australie,50,-24.999996252,134.999997326
Maroc,48,31.99999619,-4.999998872
Mecque,48,21.426667945,39.826107854
Sa,48,-29.999997562,134.999997326
Japon,47,35.685358159,139.753087546
Trébahu,47,50.104409643,-5.126149678
Tête-Blanche,46,66.767448,-65.147246034
Egypte,45,26.999999379,29.999996802
porte,45,44.887136113,7.26981833
Aventures,44,20.36652602,-87.332338376
Hovas,44,57.61138599,11.939166482
Zanzibar,43,-6.163938723,39.197927598
Sicile,43,37.499997632,13.999997108
Tamatave,42,-18.149196677,49.40233808
Java,42,-7.491667404,110.004436379
Soungoya,42,10.11666957,-13.949997169
Libertador,41,32.587468559,-114.80995557
Aigle,41,46.318099132,6.964569917
Italie,39,42.833329363,12.833327136
Hoosanee,39,45.593595923,-74.622356732
côtes,38,39.070097304,-0.574488583
Bretagne,38,45.987059008,-1.310407279
Nil,38,30.166669876,31.099996191
Bordeaux,38,44.840439257,-0.58049555
Brazza,38,16.788259047,-99.797829714
Khartoum,38,15.551768771,32.532408082
A,37,,
Tonkin,37,39.939087192,-116.411457956
Indes,37,22.810785621,86.154586264
Dimanche,37,6.483327485,18.299995536
Algérie,37,27.999999641,2.999998725
Aulas,36,44.000548287,3.587475593
Océan,36,34.711829048,-76.991329015
Londres,35,51.508528044,-0.125738904
Stanley,35,-51.69999695,-57.849996076
Bolivar,34,8.129227431,-63.540857081
Caire,34,30.062625608,31.249666409
Orient,34,45.467337127,-122.352586753
André,33,38.747295949,-82.734605869
Tananarive,33,-18.913678839,47.536128683
—,33,,
Bogota,32,4.609707246,-74.081747705
Sibérie,31,52.748325527,6.522218671
Ranie,31,1.133648704,104.009996312
Sahara,30,25.999999117,12.999996846
Jes,30,4.603515796,-74.070795677
Midi,30,2.799288399,20.883567275
Tours,30,47.383325606,0.683329801
Sénégal,29,13.999995972,-13.999996732
Borburata,29,8.599719181,-70.109167223
Landerneau,28,48.452516228,-4.252516202
Marseille,28,43.296945723,5.381065934
Vergier,28,50.933407079,-112.001808759
Singapour,27,1.366669526,103.799999947
Gumilcund,27,,
Achaguas,27,7.779167495,-68.223726533
Mahdi,27,37.156097649,42.68175695
«,27,,
Wilfrid,27,18.249999336,-72.466665524
Pyrénées,26,12.133327616,-61.666669893
Sylvia,26,36.171715501,-87.425565603
Pedro,26,9.928289286,-84.050739078
Victoria,26,48.432938466,-123.369298532
Pékin,26,40.567537425,-89.64065604
Ranavalo,26,,
Alpes,26,46.416667385,9.99999606
place,26,18.499997151,-73.399999702
Avita,26,-11.236847064,166.489975972
Perse,25,56.633325781,25.399996497
Malo,25,45.660298004,11.407489162
Atlantique,24,40.641767338,-73.170668552
Garonne,24,45.03332814,-0.599996819
Grande,24,36.670577233,-103.774405842
Est,24,12.06307985,0.363489183
Caen,24,49.185847654,-0.359119694
Grâce,24,47.777598619,-122.15067617
Gordon,24,-29.299999179,152.716666686
Bertie,23,29.919367321,-90.987876991
Borda,23,51.152236161,14.771998103
Sumatra,23,-3.19799954696e-06,101.999997675
Apure,22,7.166668347,-68.833327939
Rome,22,41.894739652,12.483897144
Sud,22,2.499997457,11.749998768
