LOC,FREQ,LAT,LON
France,448,45.99999986,1.999998463
Paris,428,48.853408154,2.348798511
El,287,27.96203651,86.933696627
mer,155,47.705546513,1.506207781
Article,133,38.766675729,-121.226656166
Médine,123,24.468609509,39.614167661
Europe,111,48.69095907,9.140617319
Barca,100,43.966666293,23.616669745
Pageno,97,2.525249216,31.564458475
Madiane,94,-24.13916864,34.270279867
Afrique,93,7.188099945,21.093748124
Image,92,45.609007055,-122.582039392
Angleterre,81,52.160448194,-0.703118668
Chine,78,34.999996976,104.999998462
Joe,78,33.799548502,-96.530548146
Allemagne,76,51.499996802,10.499996191
Sophie,75,18.21805667,-72.776939991
Madagascar,74,-19.999999441,46.999996759
Pays,73,48.853408154,2.348798511
Niger,72,17.99999702,8.999995798
Sambala,69,13.000697647,-9.59129695
A,68,,
Asie,63,29.840637807,89.296877923
New-York,62,40.714269404,-74.005969929
Aéo,60,13.711783047,100.423850539
Soudan,53,17.99999702,-1.999998086
—,51,,
Russie,50,59.999999029,99.999997151
Piou,49,46.792559529,1.830278023
Philias,46,38.236487777,22.096817114
Moustaf,46,16.723437799,-16.169186742
Ponton,45,20.649996365,-76.816668014
Boubou,44,13.524676151,-11.447989691
Japon,43,35.685358159,139.753087546
Italie,42,42.833329363,12.833327136
Louis,42,34.565349046,-99.80148789
place,40,18.499997151,-73.399999702
Marie,39,31.899308625,-100.20897623
Londres,39,51.508528044,-0.125738904
Turquie,38,39.059005789,34.911549462
Oupa-Parou,38,,
île,37,47.204907439,-1.548499151
Malaïta,37,-8.999996558,160.999999641
Amérique,37,14.932997179,10.160298835
Berlin,37,52.524366901,13.410526917
Sud,37,2.499997457,11.749998768
Imp,36,-22.719459122,-47.642975825
Moscou,35,55.752218468,37.615557514
Océan,34,34.711829048,-76.991329015
Alpes,33,46.416667385,9.99999606
Grèce,33,38.999998025,21.999999205
Voyages,33,28.646488773,77.184686233
Saint-Louis,32,38.6272691,-90.197886593
Clark,32,40.640939411,-74.310696388
Dane,31,36.216976984,-98.619528274
Espagne,31,39.999998287,-3.99999861
Briquemol,31,,
Lamblin,31,-11.226389992,-76.911668084
Claude,30,35.111717563,-101.363218305
Tom,30,33.735946646,-94.572987856
«,30,,
Maroc,29,31.99999619,-4.999998872
Rome,29,41.894739652,12.483897144
Orient,29,45.467337127,-122.352586753
Michon,29,34.701668949,126.595557618
Tennessee,28,35.750345892,-86.250269896
Norvège,28,61.999999554,9.99999606
Zoulou,28,3.51666874,12.133328753
Grönland,28,71.999997675,-39.999999047
Roumelie,28,35.404929544,24.700529066
Societe,28,-34.965009978,-54.953526603
Lyon,28,45.748458681,4.846706852
Varigny,26,46.445905791,2.61047729
Palizeul,26,49.903947932,5.135369737
Kalahari,26,24.899999729,90.466666119
Vienne,25,48.208489383,16.372078615
Seine,25,49.43471607,0.117496012
Toulousain,25,43.649097974,1.474089631
Havre,25,49.493795828,0.107668884
Spitzberg,25,50.506628951,11.382349893
Omar,25,37.501716479,-88.96867667
E,25,,
Bordeaux,24,44.840439257,-0.58049555
Belgique,24,50.83332696,3.999998987
Pluton,24,47.199998374,26.033328796
Irlande,24,52.999997195,-7.999999659
Bulgarie,24,42.999999073,24.999999991
Berg,24,47.825888334,11.498138118
