LOC,FREQ,LAT,LON
France,364,45.99999986,1.999998463
détroit,316,42.331425901,-83.045748759
Paris,310,48.853408154,2.348798511
mer,211,47.705546513,1.506207781
Afrique,182,7.188099945,21.093748124
Amérique,182,14.932997179,10.160298835
Marie,155,31.899308625,-100.20897623
Europe,142,48.69095907,9.140617319
Angleterre,125,52.160448194,-0.703118668
Russie,120,59.999999029,99.999997151
île,118,47.204907439,-1.548499151
Sibérie,116,52.748325527,6.522218671
Sahara,114,25.999999117,12.999996846
Franceville,99,-1.63332676,13.583568061
Brésil,96,-9.99999682,-54.999998479
Congo,91,-0.99999896,14.99999737
Soudan,91,17.99999702,-1.999998086
Chine,75,34.999996976,104.999998462
Océan,72,34.711829048,-76.991329015
Tonkin,71,39.939087192,-116.411457956
Albert,63,1.666666905,30.999997065
Algérie,62,27.999999641,2.999998725
Joannès,56,19.72518893,-155.087528424
Louise,54,42.359989366,-92.298799662
Maroc,53,31.99999619,-4.999998872
Hamera,52,29.739059321,-95.472768511
Jacques,50,46.371549889,-116.727365923
—,49,,
Jean,49,,
Raoul,49,34.449538323,-83.594335578
Riga,49,56.945998535,24.105888833
Crocodile,48,-24.191058035,26.871329934
Mexique,47,22.999998331,-101.999997299
Allemagne,47,51.499996802,10.499996191
Asie,46,29.840637807,89.296877923
porte,46,44.887136113,7.26981833
Alaska,46,64.000279053,-150.000279856
Tomsk,45,56.49889571,84.976199331
Brazza,42,16.788259047,-99.797829714
Aventures,41,20.36652602,-87.332338376
Dimanche,41,6.483327485,18.299995536
Californie,40,37.250215797,-119.75125959
République,40,18.999997282,-70.666667752
Biorn,40,1.338038567,103.757357231
Chronique,39,45.521746299,-73.593999987
Coloquinte,39,49.842276404,3.294335606
Aïn-Sefra,38,32.749998636,-0.583325799
côtes,38,39.070097304,-0.574488583
Londres,38,51.508528044,-0.125738904
place,38,18.499997151,-73.399999702
Ouargla,38,31.949317187,5.325018907
Blanche,37,30.92018651,-92.612358838
Alpes,37,46.416667385,9.99999606
I',37,,
Julie,37,40.757708549,-73.864506982
Augusta,35,33.470969659,-81.974839289
États-Unis,35,3.437066304,-53.396889735
San-Francisco,34,37.774927735,-122.419419323
Khartoum,33,15.551768771,32.532408082
Castor,33,52.216837191,-111.885089117
«,32,,
Nina,32,37.663967581,-84.466326699
Marseille,32,43.296945723,5.381065934
Nil,32,30.166669876,31.099996191
Bordelais,31,33.014926127,-117.076957901
Égypte,31,,
Prix,31,44.526245637,2.016156529
Étranger,31,47.300136988,-78.5995988
