LOC,FREQ,LAT,LON
Paris,610,48.853408154,2.348798511
France,575,45.99999986,1.999998463
Article,468,38.766675729,-121.226656166
Madagascar,292,-19.999999441,46.999996759
Pageno,214,2.525249216,31.564458475
Afrique,210,7.188099945,21.093748124
Europe,196,48.69095907,9.140617319
Image,180,45.609007055,-122.582039392
Angleterre,164,52.160448194,-0.703118668
mer,156,47.705546513,1.506207781
El,148,27.96203651,86.933696627
Chine,140,34.999996976,104.999998462
Congo,134,-0.99999896,14.99999737
Maurice,130,-20.29999682,57.583327616
Ie,117,33.751389275,132.701389799
Russie,116,59.999999029,99.999997151
Ia,103,42.000268787,-93.500485527
porte,84,44.887136113,7.26981833
Jean,83,,
Soudan,82,17.99999702,-1.999998086
Birmanie,81,21.999998069,97.999996627
Asie,75,29.840637807,89.296877923
Sa,69,-29.999997562,134.999997326
A,69,,
île,69,47.204907439,-1.548499151
Hovas,66,57.61138599,11.939166482
Malgaches,59,-19.999999441,46.999996759
Soungoya,58,10.11666957,-13.949997169
Pola,58,44.868327782,13.848059091
Japon,58,35.685358159,139.753087546
Marouta,57,13.381399865,19.765996946
Aventures,56,20.36652602,-87.332338376
San,56,32.730069905,-117.195139914
Allemagne,54,51.499996802,10.499996191
Rajah,52,57.479385703,-4.227016965
Bogota,51,4.609707246,-74.081747705
—,51,,
Willigo,51,60.158609955,25.11360591
Tom,50,33.735946646,-94.572987856
Espagne,50,39.999998287,-3.99999861
Sylvia,49,36.171715501,-87.425565603
Los,48,14.704169985,-17.161668172
Australie,48,-24.999996252,134.999997326
Carmenito,47,44.030637117,28.647659806
Jade,47,14.583328708,75.066665682
Tonkin,47,39.939087192,-116.411457956
Londres,46,51.508528044,-0.125738904
Tête-Blanche,46,66.767448,-65.147246034
Sahara,46,25.999999117,12.999996846
Tamatave,46,-18.149196677,49.40233808
Aigle,45,46.318099132,6.964569917
Mahdi,45,37.156097649,42.68175695
Nil,45,30.166669876,31.099996191
Libertador,44,32.587468559,-114.80995557
Tananarive,44,-18.913678839,47.536128683
Khartoum,44,15.551768771,32.532408082
Aulas,44,44.000548287,3.587475593
Zanzibar,43,-6.163938723,39.197927598
Bordeaux,43,44.840439257,-0.58049555
Maroc,42,31.99999619,-4.999998872
Landerneau,41,48.452516228,-4.252516202
Niger,41,17.99999702,8.999995798
place,40,18.499997151,-73.399999702
«,39,,
Vergier,39,50.933407079,-112.001808759
Pinkerton,38,33.198707819,-99.841759316
C’,38,34.483636297,135.533798457
Java,38,-7.491667404,110.004436379
Trebahu,38,,
Sud,37,2.499997457,11.749998768
MSiao,36,-7.966667753,31.866669658
Nares,36,36.53661962,-120.100428605
Brazza,36,16.788259047,-99.797829714
Bretagne,36,45.987059008,-1.310407279
Dimanche,36,6.483327485,18.299995536
Delorme,35,47.764689265,-96.289216561
Ranavalo,35,,
Amérique,35,14.932997179,10.160298835
Imp,35,-22.719459122,-47.642975825
Pyrénées,34,12.133327616,-61.666669893
Stanley,34,-51.69999695,-57.849996076
Inde,34,19.999997544,76.999995622
Rosario,34,-32.946817568,-60.639316558
Amerique,33,,
André,32,38.747295949,-82.734605869
Caire,32,30.062625608,31.249666409
côtes,32,39.070097304,-0.574488583
Canada,31,60.108668886,-113.642579161
Mans,31,39.804378146,40.037238119
Indes,30,22.810785621,86.154586264
Pedro,30,9.928289286,-84.050739078
Malo,30,45.660298004,11.407489162
Caen,30,49.185847654,-0.359119694
Tours,30,47.383325606,0.683329801
New-York,29,40.714269404,-74.005969929
Bolivar,29,8.129227431,-63.540857081
Midi,29,2.799288399,20.883567275
Italie,29,42.833329363,12.833327136
Garonne,29,45.03332814,-0.599996819
E,28,,
Départements,27,20.552719497,-97.432776584
Havre,27,49.493795828,0.107668884
Orient,27,45.467337127,-122.352586753
Alpes,27,46.416667385,9.99999606
Saintes,27,45.749997544,-0.633329861
Guyane,26,4.999998113,-58.999999527
Ranie,26,1.133648704,104.009996312
Gordon,26,-29.299999179,152.716666686
Rome,26,41.894739652,12.483897144
Egypte,26,26.999999379,29.999996802
Turquie,26,39.059005789,34.911549462
Suez,26,29.973708999,32.526266127
Hoosanee,26,45.593595923,-74.622356732
Océan,25,34.711829048,-76.991329015
Aureiie,25,34.010579775,-118.481976223
Kola,25,68.880617982,33.018418954
Rio,25,-22.902777354,-43.20749892
Marseille,25,43.296945723,5.381065934
Finlande,25,63.999995578,25.999995754
Li,25,11.333325607,-2.366666049
Lucio,25,21.716667211,-100.966668494
Nord,24,13.588089024,-2.42119671
Borburata,24,8.599719181,-70.109167223
Toulouse,24,43.604259452,1.44366783
Moscou,24,55.752218468,37.615557514
Dieppe,24,49.933325825,1.083326306
Cest,24,-38.733326585,-72.595957051
Suisse,24,47.000157608,8.014268269
Siam,23,14.999996234,99.999997151
Barbanton,23,,
Jai,23,35.078937971,72.038249917
Bordelais,23,33.014926127,-117.076957901
Prix,23,44.526245637,2.016156529
Perse,23,56.633325781,25.399996497
See-Woo,23,51.511569775,-0.130386991
Avita,22,-11.236847064,166.489975972
Bruxelles,22,50.850447941,4.348776537
route,22,7.107615587,17.35750917
détroit,22,42.331425901,-83.045748759
Rennes,22,48.111977447,-1.674289989
Victoria,22,48.432938466,-123.369298532
Guatemala,21,15.499996365,-90.249996469
Vienne,21,48.208489383,16.372078615
Dahomey,21,19.199995535,-72.283329293
Sumatra,21,-3.19799954696e-06,101.999997675
Montauban,21,44.016665856,1.349999642
Atlantique,21,40.641767338,-73.170668552
Tunisie,21,33.999996714,8.999995798
Nantes,21,47.217249843,-1.55335872
Mojanga,21,-1.183326192,28.449996846
Bertie,21,29.919367321,-90.987876991
Chronique,21,45.521746299,-73.593999987
Roquefort,21,44.03499723,-0.323226379
Sicile,21,37.499997632,13.999997108
I',20,,
Touze,20,23.143657083,120.385856653
Achaguas,20,7.779167495,-68.223726533
Bouddha,20,34.018395582,35.649389487
Buffalo,20,42.88644715,-78.878367063
Hollande,20,50.649999728,3.683326088
Touareg,20,41.375746706,2.17391703
Méloir,20,5.965598927,102.294217567
Livingstone,19,-17.841936943,25.854249187
Neukomm,19,47.238649944,7.267609026
Cochinchine,19,43.256867779,5.394105777
Borda,19,51.152236161,14.771998103
Marche,19,34.863416096,-92.362379021
Tunis,19,36.818969565,10.165788348
Singapour,19,1.366669526,103.799999947
Pologne,19,51.999996933,19.999998681
Mamie,19,32.186527138,-86.04050751
Bornou,18,6.503539691,17.456536382
Sarthe,18,18.578888651,-72.30860805
Ton,18,46.265309817,11.087977015
Rigolo,18,44.71666874,9.616666076
Sierra,18,14.866668565,-92.283325536
Tchad,18,14.999996234,18.999998419
Mandalay,18,21.974728311,96.083589685
Kaaba,18,21.914159186,-102.329975517
Grande-Terre,18,-19.999999441,46.999996759
Pekin,18,,
Wilfrid,18,18.249999336,-72.466665524
Prance,18,48.033328926,0.299999817
Étranger,17,47.300136988,-78.5995988
Tanganika,17,-9.399997562,25.016666513
Batavia,17,-6.214617726,106.845127229
Rozan,17,52.887565672,21.391045742
He,17,55.833328271,13.649995667
Mississipi,17,32.7504081,-89.750356306
Bourbon,17,41.295599818,-86.116388776
Saint-Pierre,17,46.780905564,-56.171959981
Excellence,17,25.666088248,-100.313497455
Abyssinie,17,7.999998899,37.999998899
Munich,17,48.137427189,11.575486254
Saint-Petersbourg,17,,
Melbourne,17,-37.813999664,144.963319202
Versailles,17,48.80341759,2.125519324
Sans-le-Sou,17,,
Lo,17,13.110699386,-3.404098489
Rhadama,17,-8.718375548,115.180808538
Sahipa,17,41.218247182,33.706299913
Himalaya,17,27.999999641,83.999997457
Rangoun,17,16.805276537,96.15610975
Corse,17,57.149996933,-2.749996033
Pacifique,17,48.440029836,1.465697875
Danube,16,45.333325519,29.666666381
Grande,16,36.670577233,-103.774405842
Cambodge,16,12.99999571,104.999998462
Lille,16,50.63296874,3.058579027
Friquet,16,49.490826091,-2.531387432
Naples,16,40.833328839,14.249999424
Ville,16,48.342658477,7.305738643
Dang,16,4.199996103,-55.433328026
Saigon,16,10.74999737,106.666668565
Algerie,15,,
Dimanohe,15,6.483327485,18.299995536
Mexique,15,22.999998331,-101.999997299
Landes,15,38.864767025,-87.889199961
Fort-Dauphin,15,-25.032487869,46.983289741
San-Francisco,15,37.774927735,-122.419419323
Deux,15,-36.894807731,-60.325298423
Fran,15,20.136236455,-100.2938387
Tuyen-quan,15,,
Kilima,15,-3.5666657,18.549997851
Cheik,15,20.999997807,94.766669046
Belgique,15,50.83332696,3.999998987
Sainte-Marie,15,-20.896837357,55.549598085
Annam,15,15.952696693,120.856897354
Morillo,15,19.80047625,-70.898388189
Nice,15,43.703129179,7.266079162
Hindou,15,58.052216371,22.211106972
Angers,15,47.466667211,-0.549997256
Mecque,15,21.426667945,39.826107854
Loup-Rouge,14,,
Ouellé,14,10.356016831,-6.808959849
Jim,14,-25.220278704,32.977499585
Monnaie,14,47.501615609,0.788719449
Mekong,14,,
Chili,14,-29.999997562,-70.999998173
Enrique,14,-13.507498572,-74.920279795
Aurelie,14,34.010579775,-118.481976223
Ja,14,26.19750909,127.676276217
Sénégal,14,13.999995972,-13.999996732
Berlin,14,52.524366901,13.410526917
Martinique,14,14.666665813,-60.999995552
Loire,14,29.109965645,-98.395569648
Zambeze,14,,
Majunga,14,-15.716667535,46.316669396
Jerusalem,14,,
Sierra-Leone,14,8.49999903,-11.499996076
Oubangi,14,,
Toi,14,9.28319953,31.592499987
Laval,14,45.569946022,-73.691996791
Saint-Louis,14,38.6272691,-90.197886593
Societe,14,-34.965009978,-54.953526603
Limoges,13,45.83152581,1.257798324
Flèche,13,5.530438042,-53.389478893
Turkestan,13,43.333329494,68.249995579
Agen,13,44.199997588,0.633325738
UN,13,46.222986572,6.138888686
Llivia,13,42.463007725,1.977257481
Nachtigal,13,4.349999292,11.633328621
Manche,13,-4.366667709,-79.749998216
Garmenito,13,,
Etats-Unis,13,,
Grand,13,51.199999423,4.466666076
Loudon,13,35.732846945,-84.333808959
Capitaine,13,-20.636386969,33.561106797
Lourches,13,50.313537585,3.352578438
Portugal,13,39.499998156,-7.999999659
Tan,13,10.533328097,106.41666625
Caucase,13,42.499998942,44.999996234
Blanche,13,30.92018651,-92.612358838
Volga,13,57.226647631,32.576477171
Palestine,12,31.92156815,35.203285574
Vierge-Piaye,12,,
Seine,12,49.43471607,0.117496012
Sonde,12,9.766668128,1.266667037
Siberie,12,,
Ies,12,-20.199759215,-70.137136741
Canton,12,23.116668478,113.249998374
General,12,,
Darlac,12,36.905199913,45.752495959
Monténégro,12,42.499998942,19.299995798
MBrang,12,6.699996758,14.366669571
Venezuela,12,7.999998899,-65.999996862
IAfrique,12,,
Tanganlka,12,,
Compagnie,12,51.082928811,5.273269
Laponie,12,67.999996627,26.999996016
Nirrooba,12,23.761519755,90.431339754
Sedan,12,49.699999029,4.949999686
Liberia,12,,
Me,12,45.5003192,-69.249765985
Franco,12,27.847395683,-106.542699689
Breton,12,53.116815828,-114.468777846
rivages,12,50.408816631,4.435839311
Pays,12,48.853408154,2.348798511
Yersin,12,38.440459177,27.174648018
Tripoli,12,32.875186528,13.187459211
Pepo-hoan,12,,
Alger,12,36.752496963,3.041966501
Irraouaddy,12,,
Syrie,12,34.999996976,37.999998899
Saint-Jean,12,45.272706898,-66.067657358
Niagara,12,43.083417171,-79.066265889
Yan,12,38.083325868,39.349996103
Iraouaddy,12,,
Andes,12,8.66666874,-70.999998173
Emyrne,12,,
Capitan,12,33.545357058,-105.572198809
Grande-,12,,
Samarkande,11,33.947729352,-6.870527886
Rouen,11,49.443125824,1.099317887
Republique,11,,
Trent,11,46.067867337,11.121076078
Coussaris,11,,
Strasbourg,11,48.583418612,7.742955845
Saint-Malo,11,48.649999204,-2.016669107
Demierre,11,37.129437514,40.283888232
Trixy,11,40.719007484,-73.956406827
Marivoumba,11,,
Karchi,11,12.161949576,7.737448334
Foulpointe,11,8.516665551,81.31666957
Tombouctou,11,16.773477859,-3.00741819
Chicago,11,41.850027119,-87.650046183
Wissmann,11,-29.567707423,-50.797816871
Grande-Bretagne,11,54.758436654,-2.695307886
Id,11,44.500197449,-114.251177155
Ires,11,-9.654067517,-35.707397963
Orleans,11,,
Chari,11,-11.012469975,14.298599611
Honorat,11,47.333447532,-79.132936473
Quebec,11,,
Naktchou,11,33.060331598,139.80567888
Kit,11,37.999997763,43.049999773
Senegal,11,,
Rose,11,39.398496163,16.287189148
In,11,40.000317759,-86.250269896
Lyon,11,45.748458681,4.846706852
Lune,11,-16.783329381,-70.699996294
Houssein-Beg,10,,
Forth,10,55.765019832,-3.688738731
Saint-Laurent,10,45.500076222,-73.665849611
Granger,10,,
Etranger,10,,
Thibet,10,31.99999619,89.99999903
Saint-Pétersbourg,10,59.894438397,30.26416836
Philippe,10,34.065839372,-118.378818377
GrAce,10,,
Done,10,1.665555504,13.753059021
Tète-Blanche,10,,
Gumilcund,10,,
Mille,10,47.257728251,-0.443446711
Jirola,10,12.182697235,-5.962328477
Portes,10,44.269025963,4.021786054
Lombok,10,52.091109347,5.097568591
Chinois,10,-32.928288212,151.770108182
Binh-Dinh,10,14.166665682,108.99999951
Grftce,10,,
Menton,10,43.776486169,7.504346519
Méditerranée,10,43.092857333,-0.0540467659995
Sud-Ouest,10,10.499999554,-3.199996601
Subdul,10,21.121266545,79.063647498
Berne,10,46.948088228,7.447435569
Risler,10,-30.770189717,28.283565615
Sakalaves,10,-15.616668408,35.483327223
K,10,,
Boston,10,42.358428005,-71.059766369
Barbade,10,13.166669919,-59.533328201
Mer,10,,
l’,10,34.483312326,135.534590387
Mada,10,14.497597816,-9.280199057
Ecosse,10,55.999997981,-3.99999861
Meerut,9,28.971548928,77.71933779
Paf,9,46.25861891,10.520635859
Say,9,13.100696774,2.368898227
Poky-ben-uche,9,,
Zambftze,9,,
Museum,9,,
Pa,9,29.562778464,106.552779171
Gironde,9,44.536495728,1.537578997
Marie-Yvonne,9,45.632908934,-73.817099189
Flohic,9,48.346775612,-2.756178484
Amsterdam,9,52.374026242,4.889687038
Antananarivo,9,-18.913678839,47.536128683
Irlande,9,52.999997195,-7.999999659
Est,9,12.06307985,0.363489183
Roger,9,18.298329547,-72.72138792
Entraygues,9,45.51666625,2.333328884
Fontaine,9,45.198386993,5.682647172
Madone,9,45.650277393,9.550148478
CLAUDE,9,,
Suède,9,61.999999554,14.99999737
Kate,9,35.044817499,-90.361487575
Tacouandewe,9,,
Jaurreguy,9,,
Inutile,9,-64.033326017,-60.783326279
Knieng,9,,
Égypte,9,,
Antongil,9,-15.749996077,49.833327835
Ankove,9,7.316667036,8.566666251
Caracas,9,10.488008118,-66.879187345
Mozambique,9,-18.249996732,34.999998113
Texas,9,31.250439204,-99.250606274
Varsovie,9,52.229769043,21.011778898
Toulon,9,43.11666922,5.933328927
Bayonne,9,40.668706447,-74.114306816
Ava,9,36.95199576,-92.660446071
Gibraltar,9,36.144735895,-5.352569586
Barth,9,54.363457204,12.724909257
Suede,9,,
Normandie,9,40.379827582,-73.975138665
Angola,9,-12.499997475,18.499998288
Tibesti,9,21.499997938,17.499998026
Louisbourg,8,45.916838239,-59.965127884
Fleuve,8,37.757496282,119.076108378
Geographie,8,-33.639738079,115.383578545
Maine,8,45.5003192,-69.249765985
Tu,8,34.730277411,136.508609955
Charaire,8,48.778795775,2.293318434
Nyassa,8,19.174446802,72.860709434
Malaisie,8,2.499997457,112.499995928
Beauvais,8,49.433325694,2.083326568
Tigre,8,30.590635754,47.769068513
Forbach,8,49.183327878,6.899996147
Hambourg,8,53.575316142,10.015339698
Etat,8,-8.731797857,122.36509602
AtA,8,16.184106659,-3.716037808
Muskegon,8,43.234176293,-86.248389063
Washington,8,38.895107833,-77.036365518
Bulgarie,8,42.999999073,24.999999991
Colomb,8,,
Cordova,8,-31.413497631,-64.181046772
Mediterranee,8,,
Luchon,8,-20.46666653,57.449999947
Senorita,8,-0.100969738,34.751449169
Guinee,8,,
Halte,8,6.246108535,1.058056549
Auch,8,43.649997894,0.583326175
Sidi,8,24.393286193,81.879349139
Ta,8,31.215918268,107.500917036
Hong-li-tao,8,25.019158155,121.300917953
Ii,8,,
Mérignac,8,44.832479463,-0.633806819
Cap,8,49.64443796,5.984439892
Hué,8,16.466668085,107.599998243
Bresil,8,,
Californie,8,37.250215797,-119.75125959
Pinkerlon,8,,
Pacific,8,38.481999491,-90.741519352
Je,8,35.433938469,66.716099693
Tre,8,6.533327048,0.399998943
Lettres,8,44.435979147,26.084678239
Kassaï,8,7.385429934,18.385505948
Nouvelle-Grenade,8,,
Escande,8,40.716667691,0.133325607
Betsiboka,8,-17.199996907,47.099995885
Antilope-Bleue,8,,
Rouge,8,47.783668581,-1.447627102
Angostura,8,8.129227431,-63.540857081
Sefiorita,8,,
PARIS,8,,
J’,8,35.150040662,136.961710747
Champagne,8,48.021845945,0.33095707
Renaissance,8,33.351707742,-111.924307637
Samy,8,21.134378382,-101.704099056
Savoie,8,29.645485624,-90.687308163
Kordofan,8,10.530178376,29.932916755
Brèche,8,18.533325694,-74.433328506
Koanook,8,27.252597964,62.010399267
Berry,8,-34.775266315,150.690635972
Pico,8,-35.656616606,-63.756819917
Autriche,8,47.333326043,13.333327267
Lhassa,8,29.649998724,91.099998418
Brest,8,48.399996889,-4.483327721
Ane,8,52.614169932,6.651388708
Inamou,8,-3.583327721,-62.433329861
Dax,8,43.710319541,-1.053655563
Red-River,8,44.824978628,-88.704545609
Sept-Laux,8,45.216668871,6.083327617
Caroline,8,52.083406031,-114.752045709
Haute,8,50.783327397,3.649997545
Trottet,8,-70.71916573,66.434168211
Vilaine,8,49.39099795,1.449877279
Mont-de-Marsan,8,43.890218077,-0.497126948
Moi,8,58.456739475,6.551839542
Saint-Joseph,8,39.76860632,-94.846626574
Borna,8,51.124158653,12.496379036
Grand-Esprit,8,46.183358589,-72.499107645
Sophia,8,42.697508916,23.324146203
Radama,8,14.077497095,45.888329906
Pays-Bas,8,52.499997064,5.749997196
James,8,39.653218559,-121.549687001
Omnes,8,51.575509101,0.468077902
Napoléon,7,41.39226924,-84.125216469
Saint-Mathieu,7,45.706738383,0.75907608
Demain,7,51.848126409,5.858977525
Saskatchewan,7,54.000096448,-106.000988259
Tassili,7,41.959506904,-87.727668795
Jura,7,49.533018847,-120.452445868
Arabie,7,15.499996365,47.49999689
Transvaal,7,15.533329407,-89.799995901
Puants,7,20.620685966,-103.071518714
Karéma,7,-6.82051596,30.438869858
Sydney,7,-33.867849837,151.207316123
Barlejo,7,,
