LOC,FREQ,LAT,LON
Pageno,471,2.525249216,31.564458475
Paris,469,48.853408154,2.348798511
France,461,45.99999986,1.999998463
Congo,248,-0.99999896,14.99999737
Melbourne,221,-37.813999664,144.963319202
mer,215,47.705546513,1.506207781
Willigo,212,60.158609955,25.11360591
Europe,200,48.69095907,9.140617319
Brazza,191,16.788259047,-99.797829714
Russie,176,59.999999029,99.999997151
Afrique,169,7.188099945,21.093748124
Los,158,14.704169985,-17.161668172
Ie,156,33.751389275,132.701389799
Australie,153,-24.999996252,134.999997326
Angleterre,142,52.160448194,-0.703118668
Entraygues,139,45.51666625,2.333328884
Niger,131,17.99999702,8.999995798
Ia,131,42.000268787,-93.500485527
porte,121,44.887136113,7.26981833
Asie,100,29.840637807,89.296877923
Canada,98,60.108668886,-113.642579161
Londres,91,51.508528044,-0.125738904
Prairie,89,48.60260941,-122.234598223
Alpes,85,46.416667385,9.99999606
Article,81,38.766675729,-121.226656166
Maurice,76,-20.29999682,57.583327616
Gilping,74,54.750215884,-66.781829484
Jean,72,,
Guyane,72,4.999998113,-58.999999527
Soudan,72,17.99999702,-1.999998086
Chine,71,34.999996976,104.999998462
Prix,68,44.526245637,2.016156529
Nil,68,30.166669876,31.099996191
Swan,67,32.4348691,-95.367176381
Hyacinthe,65,18.366669483,-73.016669718
Lyon,65,45.748458681,4.846706852
—,65,,
Makoko,62,6.496106351,3.387778814
Mahdi,62,37.156097649,42.68175695
Amerique,61,,
Suisse,60,47.000157608,8.014268269
Dick,60,40.031369503,-104.937197158
Stanley,59,-51.69999695,-57.849996076
Ivanowitch,57,,
Sa,55,-29.999997562,134.999997326
Hérat,53,34.348166818,62.199665972
Amérique,52,14.932997179,10.160298835
Nubie,52,24.43445754,103.431095683
Birmanie,51,21.999998069,97.999996627
Ton,50,46.265309817,11.087977015
A,50,,
Remember,50,40.426848409,-3.703128454
place,50,18.499997151,-73.399999702
Alger,49,36.752496963,3.041966501
Luce,48,48.436898114,1.463587563
Aigle-Noir,48,49.815229304,6.41730598
Funcal,47,32.63332849,-16.899998392
Marseille,47,43.296945723,5.381065934
Tanger,45,35.76726889,-5.799748904
Ik,44,54.606597628,53.25829791
Tonkin,43,39.939087192,-116.411457956
New-York,43,40.714269404,-74.005969929
Cayenne,43,4.933327529,-52.333328113
Inde,42,19.999997544,76.999995622
Oran,42,35.691108649,-0.641667621
Maroc,42,31.99999619,-4.999998872
Jura,40,49.533018847,-120.452445868
Rhône,40,49.233066464,-119.019039565
Lucerne,39,47.050476642,8.306346351
Ge,39,6.116668522,-9.616665699
Herat,38,,
Koanook,37,27.252597964,62.010399267
Turquie,37,39.059005789,34.911549462
Napata,36,18.466668609,31.816665595
Andre,36,,
détroit,36,42.331425901,-83.045748759
île,36,47.204907439,-1.548499151
Dimanche,35,6.483327485,18.299995536
Pays,35,48.853408154,2.348798511
Merv,35,37.59377831,61.830307248
James,35,39.653218559,-121.549687001
Cap,35,49.64443796,5.984439892
Atlantique,34,40.641767338,-73.170668552
Toulon,34,43.11666922,5.933328927
Portugal,34,39.499998156,-7.999999659
Pacifique,34,48.440029836,1.465697875
Sidi,34,24.393286193,81.879349139
San-Francisco,34,37.774927735,-122.419419323
Italie,34,42.833329363,12.833327136
Aventures,33,20.36652602,-87.332338376
«,32,,
Orient,31,45.467337127,-122.352586753
Oural,30,46.999995622,51.799999816
Bureaux,30,45.727436546,3.18114815
Anacaoua,29,4.868686265,-74.053755689
Ouadai,29,12.99999571,20.999998943
Nice,28,43.703129179,7.266079162
Tidana,28,13.4395977,-4.94029817
Lo,28,13.110699386,-3.404098489
Ja,28,26.19750909,127.676276217
Nagarnook,28,,
Rome,27,41.894739652,12.483897144
Loire,27,29.109965645,-98.395569648
Morin,27,27.149998069,-101.266665873
Colorado,26,39.000268001,-105.500826143
André,26,38.747295949,-82.734605869
Autriche,26,47.333326043,13.333327267
Fran,26,20.136236455,-100.2938387
Tenez,26,-25.839698238,28.258948299
Bresil,26,,
Savorgnan,26,45.44340825,12.324507788
Karthoum,26,13.357808458,12.318689804
Test,25,-32.889195681,-68.839019933
Madagascar,25,-19.999999441,46.999996759
Cacique,25,18.585525562,-95.8966174
Sweetmouth,25,,
Espagne,24,39.999998287,-3.99999861
California,24,,
Mourghab,23,31.711328806,50.171468329
Ali-Digma,23,,
I',23,,
Menouahli,23,,
G',23,,
Bordeaux,23,44.840439257,-0.58049555
Bourgogne,23,49.349619621,4.071106177
Tchouktchas,23,,
Savoie,23,29.645485624,-90.687308163
Bordelais,23,33.014926127,-117.076957901
Victoria,22,48.432938466,-123.369298532
Java,22,-7.491667404,110.004436379
Indes,22,22.810785621,86.154586264
Kantakeh,22,33.982497767,50.874499443
Black,22,62.336106228,-165.334995586
Washington,22,38.895107833,-77.036365518
Perse,22,56.633325781,25.399996497
Senegal,21,,
Tunis,21,36.818969565,10.165788348
Vienne,21,48.208489383,16.372078615
Nirbass,21,,
Départements,21,20.552719497,-97.432776584
Korosko,21,57.938326978,33.2466657
Swan-River,20,52.105796044,-101.267588291
Saône,20,47.223108324,6.116818145
Astrakan,20,47.253678611,47.037239954
Imp,20,-22.719459122,-47.642975825
Woangow,20,1.807828379,41.888337856
Méditerranée,20,43.092857333,-0.0540467659995
Prance,20,48.033328926,0.299999817
Para,20,-1.455826511,-48.504437881
Ocean,19,,
Etranger,19,,
Brazzaville,19,-4.266128631,15.283179741
Valence,19,39.46974734,-0.377388073
Kirby,19,29.463287792,-98.385567036
Bangalas,19,-9.159736883,17.430398202
Annecy,18,45.899996234,6.116669658
Algérie,18,27.999999641,2.999998725
Allemagne,18,51.499996802,10.499996191
Wallula,18,39.172499217,-94.900518291
Tripoli,18,32.875186528,13.187459211
Provence,18,34.151205796,-97.020838139
Gap,18,21.385937559,-157.940819729
Image,18,45.609007055,-122.582039392
Chronique,18,45.521746299,-73.593999987
Escovedo,18,29.605817144,-95.460826571
Kordofan,18,10.530178376,29.932916755
États-Unis,17,3.437066304,-53.396889735
Malte,17,35.916669133,14.433326656
Saint-Louis,17,38.6272691,-90.197886593
*,17,,
PARIS,17,,
Jonathan,17,44.267388108,-117.053496983
West-Indian,17,53.460099366,-2.219245631
Saint-Jean,17,45.272706898,-66.067657358
Vergier,17,50.933407079,-112.001808759
Tor,16,28.236377166,33.625397092
Sydney,16,-33.867849837,151.207316123
Sahara,16,25.999999117,12.999996846
Buisson,16,45.56443851,3.522856828
Oputa,16,44.639298105,19.278159235
Maria,16,37.710227976,-2.164539485
Mont-Blanc,16,45.832997179,6.863999342
Manyanga,16,1.651917214,9.697586895
Amazone,16,-0.166668408,-48.999996906
Danube,16,45.333325519,29.666666381
Yankee,15,36.945016879,-104.328036714
Gergovie,15,45.711129993,3.12581656
Jeanne,15,19.666667124,-73.383328681
Naples,15,40.833328839,14.249999424
Steadman,15,33.826766586,-85.33133894
Edward,15,37.783377985,-94.697455811
Tulipano,15,33.812606343,-84.392407259
Californie,15,37.250215797,-119.75125959
Sierra,15,14.866668565,-92.283325536
