LOC,FREQ,LAT,LON
détroit,482,42.331425901,-83.045748759
France,346,45.99999986,1.999998463
Afrique,241,7.188099945,21.093748124
Amérique,241,14.932997179,10.160298835
île,237,47.204907439,-1.548499151
Paris,172,48.853408154,2.348798511
Europe,161,48.69095907,9.140617319
Spitzberg,146,50.506628951,11.382349893
mer,132,47.705546513,1.506207781
Alexandre,120,-21.357218504,34.803059589
Albert,106,1.666666905,30.999997065
Australie,105,-24.999996252,134.999997326
Chine,105,34.999996976,104.999998462
Angleterre,89,52.160448194,-0.703118668
Russie,85,59.999999029,99.999997151
Melbourne,84,-37.813999664,144.963319202
Klaas,84,52.517896475,7.344259724
Eau,83,19.148317621,-104.560157616
Tonkin,79,39.939087192,-116.411457956
Joannès,77,19.72518893,-155.087528424
Brésil,77,-9.99999682,-54.999998479
côte,66,51.516676821,-101.800925964
Crocodile,66,-24.191058035,26.871329934
Victoria,61,48.432938466,-123.369298532
États-Unis,59,3.437066304,-53.396889735
Révérend,58,46.698378387,-1.830327142
Pérou,57,-9.99999682,-75.999999483
Congo,55,-0.99999896,14.99999737
New-York,55,40.714269404,-74.005969929
Asie,53,29.840637807,89.296877923
—,51,,
Inde,51,19.999997544,76.999995622
Océan,50,34.711829048,-76.991329015
Dimanche,48,6.483327485,18.299995536
Marseille,47,43.296945723,5.381065934
Atlantique,46,40.641767338,-73.170668552
Voyages,45,28.646488773,77.184686233
Joseph,45,45.354316156,-117.229606856
Algérie,45,27.999999641,2.999998725
Sénégal,44,13.999995972,-13.999996732
Brazza,43,16.788259047,-99.797829714
Vienne,43,48.208489383,16.372078615
Allemagne,43,51.499996802,10.499996191
Londres,43,51.508528044,-0.125738904
Nouvelle,42,19.59999654,-72.183325667
Sibérie,41,52.748325527,6.522218671
Glace,41,37.677065919,-80.343396559
Pinta,40,35.082249677,-109.630667669
Espagne,40,39.999998287,-3.99999861
Panama,40,8.999999161,-79.999996032
Novaïa-Zemlia,40,54.711595811,30.885797198
Chili,39,-29.999997562,-70.999998173
Polaris,39,39.339069936,-120.135745971
Zambèze,39,-26.400087511,153.061916549
Nina,39,37.663967581,-84.466326699
Rio,39,-22.902777354,-43.20749892
Cafres,39,56.880628336,14.805097165
Étranger,38,47.300136988,-78.5995988
Chronique,37,45.521746299,-73.593999987
Japon,37,35.685358159,139.753087546
Prix,37,44.526245637,2.016156529
Stroum,36,44.549688557,-91.392656572
Alger,36,36.752496963,3.041966501
Bagasse,35,13.099328895,-2.594786806
Cornélis,34,50.643758782,3.015027391
Batokas,34,40.473009813,-6.854419315
Melville,33,40.79342638,-73.41511836
Montevideo,33,-34.833459651,-56.167347891
Guyane,33,4.999998113,-58.999999527
côtes,32,39.070097304,-0.574488583
Sahara,32,25.999999117,12.999996846
Cap,32,49.64443796,5.984439892
Vendée,32,46.3229677,-0.961899705
Madagascar,30,-19.999999441,46.999996759
Zouga,30,14.056996914,3.374199019
Hanoï,29,21.024498132,105.841167318
Rose,29,39.398496163,16.287189148
Berlin,29,52.524366901,13.410526917
Burke,28,38.793448354,-77.27164964
Baffin,28,56.467816968,-2.952176592
Pôle,28,51.999996933,19.999998681
Italie,28,42.833329363,12.833327136
Corée,28,36.999997501,127.499999859
Départements,27,20.552719497,-97.432776584
Groënland,27,,
Ludovic,27,42.709999807,20.75166598
Canton,27,23.116668478,113.249998374
avenue,27,38.256236525,-76.767748355
Marie,26,31.899308625,-100.20897623
Océanie,26,-18.312806659,138.515616357
Yunnan,26,24.999998855,101.999997675
Santiago,26,-33.456937301,-70.648268885
Patagonie,26,-43.999996732,-67.999997386
Sumatra,26,-3.19799954696e-06,101.999997675
Yonne,25,48.388315925,2.957976954
Java,25,-7.491667404,110.004436379
Sycomores,25,52.651728099,-0.485099515
Siam,25,14.999996234,99.999997151
Magopo,25,36.621297606,126.284297738
Jacques,25,46.371549889,-116.727365923
Bushman,25,50.226186837,12.840508499
Great,25,26.88842728,75.80143698
Porte,24,,
Buenos-Ayres,24,-34.613145701,-58.377227791
Junon,24,38.999998025,21.999999205
Sa,24,-29.999997562,134.999997326
Havre,24,49.493795828,0.107668884
Ratapia,24,28.671029596,81.675917691
Boër,24,37.76957771,-76.582445798
A,24,,
Tombouctou,23,16.773477859,-3.00741819
Pacifique,23,48.440029836,1.465697875
«,23,,
Méditerranée,22,43.092857333,-0.0540467659995
Dundee,22,56.499998112,-2.966669806
Indo-Chine,22,-6.225119794,106.803807396
Lima,22,-12.043175512,-77.02823924
Suisse,22,47.000157608,8.014268269
Nouvelle-Galles,21,-32.999998349,145.999995709
Amsterdam,21,52.374026242,4.889687038
Greenwich,20,41.026487698,-73.628457929
Valparaiso,20,-33.03931586,-71.627247012
San,20,32.730069905,-117.195139914
Var,20,59.205279551,10.337218636
Niger,20,17.99999702,8.999995798
Mexique,20,22.999998331,-101.999997299
Champagne,20,48.021845945,0.33095707
Vaucluse,20,33.346506204,-91.198719281
Augusta,19,33.470969659,-81.974839289
Rhône,19,49.233066464,-119.019039565
Makoko,19,6.496106351,3.387778814
Hollande,19,50.649999728,3.683326088
Rome,18,41.894739652,12.483897144
Louise,18,42.359989366,-92.298799662
Argentine,18,42.791415583,-83.846335716
République,18,18.999997282,-70.666667752
Liban,18,33.833327004,35.833328665
Indes,18,22.810785621,86.154586264
Floride,18,6.601617488,3.33846769
André,17,38.747295949,-82.734605869
Les,17,43.347435742,-7.11963928
Cambodge,17,12.99999571,104.999998462
Histoire,17,49.926067969,1.076648899
Kayes,17,14.446927812,-11.444475503
Franklin,17,35.925056389,-86.868888501
Betchuanas,17,,
place,17,18.499997151,-73.399999702
Gun,17,-2.466666312,-78.983329249
Kalahari,17,24.899999729,90.466666119
York,17,53.957629216,-1.082709484
Tunis,16,36.818969565,10.165788348
Aventures,16,20.36652602,-87.332338376
Imp,16,-22.719459122,-47.642975825
Long,16,18.074217934,99.830726672
Suède,16,61.999999554,14.99999737
Arctique,16,80.240516929,-1.699370763
Haute-Vienne,16,45.83332565,1.166667911
Rhin,16,46.050458382,4.109919733
Cochinchine,16,43.256867779,5.394105777
Soudan,15,17.99999702,-1.999998086
Orient,15,45.467337127,-122.352586753
Hué,15,16.466668085,107.599998243
Saint-Louis,15,38.6272691,-90.197886593
Rouge,15,47.783668581,-1.447627102
Bravo,15,18.299998899,-102.783328288
Kœchlin,15,,
Oran,15,35.691108649,-0.641667621
Annam,14,15.952696693,120.856897354
Caïman,14,,
Suez,14,29.973708999,32.526266127
Riga,14,56.945998535,24.105888833
Philippines,14,12.99999571,121.999998418
Maroc,14,31.99999619,-4.999998872
Sydney,14,-33.867849837,151.207316123
Géographie,14,,
Coq,14,18.233328315,-73.583326934
Callao,14,-12.066667928,-77.149998435
Plata,14,-34.88305875,-56.713608417
Nord,14,13.588089024,-2.42119671
Dr,14,17.983568978,-94.543888938
Léna,14,72.388367212,126.706036314
Sud,14,2.499997457,11.749998768
Choa,14,-14.851668793,-71.935829629
Groenland,13,71.999997675,-39.999999047
Abyssinie,13,7.999998899,37.999998899
Egypte,13,26.999999379,29.999996802
Uruguay,13,-32.999998349,-55.999998741
Cartahu,13,,
Nouvelle-Guinée,13,-4.999995509,139.999998636
Canada,13,60.108668886,-113.642579161
Majunga,13,-15.716667535,46.316669396
Malte,13,35.916669133,14.433326656
Rivière,13,,
Barents,13,68.960125927,33.078326638
Avignon,13,43.94833942,4.808919205
Nouvelle-Zélande,13,-41.999996208,173.999998548
Bordeaux,13,44.840439257,-0.58049555
Thibet,13,31.99999619,89.99999903
Engelmann,12,59.699997151,19.033326961
Baltique,12,50.115609149,8.688915902
Alpes,12,46.416667385,9.99999606
Tamarinier,12,16.026746622,-61.697888122
Nahicas,12,-12.749716316,35.405556125
Détroit,12,,
Andes,12,8.66666874,-70.999998173
Lynch,12,30.397967351,-91.35649778
Tamatave,12,-18.149196677,49.40233808
Crique,12,14.099999598,-88.599997386
Silence,12,46.396639663,11.024798121
Cécile,12,36.700778553,-119.717638573
Loire,12,29.109965645,-98.395569648
Grèce,12,38.999998025,21.999999205
Hélas,12,58.275878024,12.888249262
Californie,12,37.250215797,-119.75125959
Ballarat,12,-37.566215652,143.849569033
Saint-Jean,11,45.272706898,-66.067657358
Saint-Pol-Lias,11,,
Noël,11,36.54562782,-94.485218644
Morton,11,40.612816907,-89.459259137
Terre-Neuve,11,18.283327878,-73.566669412
Attends,11,60.216798791,24.819516507
Los,11,14.704169985,-17.161668172
Nouvelle-Calédonie,11,-21.499999834,165.499996321
Bouddha,11,34.018395582,35.649389487
Obock,11,11.963058225,43.290557426
Siegfried,11,50.930126871,13.201236989
Sonde,11,9.766668128,1.266667037
Tunisie,11,33.999996714,8.999995798
Pieter,11,51.350367079,3.287046253
Tom,11,33.735946646,-94.572987856
Carpentarie,11,47.898997847,1.909385504
Constantine,11,36.364995849,6.614716962
Mékong,11,37.966916698,-121.293677719
Poitiers,10,46.583328096,0.333328359
Irlande,10,52.999997195,-7.999999659
Alsace-Lorraine,10,49.893319875,2.30992646
Martinique,10,14.666665813,-60.999995552
Bouloum,10,9.668257361,1.683856516
Murray,10,40.666888609,-111.88798686
Bornéo,10,0.999997064,113.999996321
Bône,10,36.899998374,7.766668741
Boërs,10,,
Deux,10,-36.894807731,-60.325298423
Hudson,10,41.240056747,-81.44066919
Birmanie,10,21.999998069,97.999996627
Gibraltar,10,36.144735895,-5.352569586
Gap,10,21.385937559,-157.940819729
Pensylvanie,10,40.27244911,-76.905665616
San-Francisco,10,37.774927735,-122.419419323
Tripoli,10,32.875186528,13.187459211
Polynia,10,38.164467168,20.484038728
Tchad,10,14.999996234,18.999998419
Si-Kiang,10,22.799995579,113.049995622
Mulhouse,10,47.749998068,7.333325695
Ouf,10,47.479009615,-3.122999433
Marius,10,47.666669963,23.183326699
Portugal,10,39.499998156,-7.999999659
Provence,10,34.151205796,-97.020838139
Trapp,10,32.739577561,-89.213666431
Villeroge,10,,
Cordillère,10,18.849998593,-72.449999003
Mississipi,10,32.7504081,-89.750356306
Nouvelle-Sibérie,9,,
Pyrénées,9,12.133327616,-61.666669893
Nossi-Bé,9,-13.333328027,48.249999336
Sandwich,9,41.645857737,-88.621739457
Dorey,9,15.813096581,-0.401595925
Guyot,9,-7.261035869,107.53816923
Turkestan,9,43.333329494,68.249995579
Dunabourg,9,55.883327834,26.533328927
Edge,9,30.889908697,-96.294679077
Livonie,9,45.225528584,-0.585706087
Apatou,9,5.154995858,-54.347218905
Mille,9,47.257728251,-0.443446711
Royaume-Uni,9,54.758436654,-2.695307886
Quand,9,52.345705755,-7.414997571
Livingstone,9,-17.841936943,25.854249187
Hopewell,9,37.304318996,-77.28719576
Librairie,9,14.692808493,-17.461305583
Erik,9,40.528548385,37.661138469
Creuse,9,49.839198677,2.163977412
Zanzibar,9,-6.163938723,39.197927598
Pétrolie,9,1.329475827,103.917799494
Maréchal,9,18.199999772,-72.966665655
Saint-Gothard,9,43.704038098,7.263829362
Autriche,9,47.333326043,13.333327267
Braslaw,9,55.641298811,27.041797307
Incas,9,-12.202528872,-77.015298388
Horse,9,51.758327878,-8.296937309
Saint-Pierre,9,46.780905564,-56.171959981
Azul,9,-36.776976688,-59.858536842
Hovas,9,57.61138599,11.939166482
Wilna,9,54.689156302,25.279798663
Mikado,9,51.616675948,-102.267638049
Rio-de-Janeiro,9,-22.902777354,-43.20749892
Gulf-Stream,9,26.493677309,-80.055039648
Turquie,8,39.059005789,34.911549462
Venise,8,45.438607176,12.326667596
Wirballen,8,,
Risler,8,-30.770189717,28.283565615
Place,8,,
Hyères,8,43.119539965,6.138969679
Je,8,35.433938469,66.716099693
Bougie,8,36.755867164,5.084326266
Dick,8,40.031369503,-104.937197158
Paraguay,8,-22.993327319,-57.996386086
Saint-Pétersbourg,8,59.894438397,30.26416836
Batavia,8,-6.214617726,106.845127229
Iénisséï,8,69.718106165,84.737549508
Bakel,8,14.902377396,-12.459346946
British,8,18.107856949,-77.2067384
Mackensie,8,55.33636987,-123.093738485
Certes,8,44.688046779,-1.021757893
Atlas,8,38.429079687,-122.248029531
Nil,8,30.166669876,31.099996191
Cooper,8,33.373436314,-95.688285887
Smith,8,38.800467731,-119.327379204
Danube,8,45.333325519,29.666666381
Parry,8,49.783367632,-104.734395654
Cimbria,8,56.683329844,10.049995623
Punta-Arenas,8,-53.14999778,-70.916665568
Égypte,8,,
Chicago,8,41.850027119,-87.650046183
Maures,8,44.690089598,0.803977595
Etats-Unis,8,,
Parmi,8,3.449998156,15.016668391
Découverte,8,18.449997588,-74.466666048
Victor,8,42.982558621,-77.408878462
Norvège,8,61.999999554,9.99999606
Sonora,8,29.333325825,-110.666669237
Scoresby,8,-37.899996033,145.233326742
porte,8,44.887136113,7.26981833
Yedo,8,9.483328271,37.933328315
Côte-d',8,,
Anjou,8,47.333326043,-0.499997693
Pékin,8,40.567537425,-89.64065604
Varna,8,43.216668346,27.916668173
Ile,8,,
Jeannette,8,40.32811817,-79.615316168
Moi,8,58.456739475,6.551839542
Hans,8,-13.466669195,14.616667386
Aa,7,55.216419514,9.978739946
Yakoutsk,7,62.033886047,129.733057203
Song-Koï,7,20.283328402,106.566669439
Yankee,7,36.945016879,-104.328036714
Mardochée,7,,
Bangkok,7,13.753975803,100.501437154
Cape-Town,7,-33.925836192,18.423217101
Danemark,7,55.999997981,9.99999606
Dymphna,7,40.727016773,-73.98398938
Ja,7,26.19750909,127.676276217
New,7,38.427846796,-84.810496659
Wahabites,7,,
Amazone,7,-0.166668408,-48.999996906
Kane,7,41.66283923,-78.811138529
Stanley,7,-51.69999695,-57.849996076
Nièvre,7,50.008797627,2.048805632
Ostrebygd,7,,
Grand,7,51.199999423,4.466666076
Société,7,,
Saint-Paul,7,44.944407031,-93.093267163
Oroya,7,-11.518927033,-75.899347915
Alima,7,13.883226834,13.280618944
Ta,7,31.215918268,107.500917036
Sicile,7,37.499997632,13.999997108
Kara,7,9.551105757,1.186106186
Wiche,7,53.607398295,7.31827903
Riad,7,24.687726565,46.721849441
Industrie,7,18.041118871,-63.069717389
Tell,7,33.610326793,36.310695804
Tromsœ,7,,
Corrèze,7,45.372737521,1.874648586
Capitaine,7,-20.636386969,33.561106797
Windau,7,57.389438685,21.5605592
Désirade,7,4.740447644,-53.929219497
Corcovado,7,-22.951917494,-43.211737544
Brisbane,7,-27.467937252,153.028088551
Nam-Dinh,7,20.41666957,106.166668434
Heuglin,7,-25.28873563,30.994957512
Gela,7,37.080337871,14.230678138
Kanouï,7,-21.349996645,165.64999951
Dordogne,7,45.044986605,-0.603317525
Templeson,7,35.549686198,-120.705998368
Griper,7,74.533326873,-18.899998916
Encore,7,36.129738726,-115.164668094
Acapulco,7,16.863357383,-99.890098527
Lesseps,7,8.958706325,-79.654476193
Toulon,7,43.11666922,5.933328927
Obi,7,42.086458639,-78.257786632
Bouches-du-Rhône,7,43.499999204,4.999999249
Fraya,7,16.235793572,99.732284407
Nouveau-Monde,7,49.56205927,0.820459632
Ernest,7,30.77909703,-82.660128478
Pongo,7,37.222579249,-84.322987419
Malaisie,7,2.499997457,112.499995928
Va,7,37.548116362,-77.446747102
Val,6,47.362636442,18.679307376
Lac,6,41.635558151,19.713059143
Purchas,6,29.108777751,76.945649445
Khartoum,6,15.551768771,32.532408082
Arabie,6,15.499996365,47.49999689
Pauvre,6,49.411475632,4.49287625
Aréquipa,6,-16.398887996,-71.534996198
Bowie,6,38.942776603,-76.73027568
Monitor,6,45.10150609,-122.748146652
Spitz-berg,6,,
Anna,6,51.484198703,40.429895775
Mahdi,6,37.156097649,42.68175695
Saint-Laurent,6,45.500076222,-73.665849611
