LOC,FREQ,LAT,LON
France,305,45.99999986,1.999998463
Paris,233,48.853408154,2.348798511
Article,223,38.766675729,-121.226656166
Sandio,137,60.466666118,27.71666992
Chine,106,34.999996976,104.999998462
Afrique,103,7.188099945,21.093748124
Amérique,92,14.932997179,10.160298835
Congo,92,-0.99999896,14.99999737
Europe,88,48.69095907,9.140617319
Russie,81,59.999999029,99.999997151
mer,77,47.705546513,1.506207781
Madagascar,70,-19.999999441,46.999996759
Sa,70,-29.999997562,134.999997326
Guyane,69,4.999998113,-58.999999527
Olga,66,43.747346755,135.290896512
île,66,47.204907439,-1.548499151
Soudan,64,17.99999702,-1.999998086
Angleterre,59,52.160448194,-0.703118668
Joaquina,55,-27.628707985,-48.449875723
A,54,,
Caprice,53,37.872308094,-122.450448569
Mer,49,,
Canada,47,60.108668886,-113.642579161
Tonkin,45,39.939087192,-116.411457956
Asie,43,29.840637807,89.296877923
Sahara,43,25.999999117,12.999996846
Juan,40,35.366376965,-115.088039894
Touraille,40,48.193717194,1.47206931
Java,39,-7.491667404,110.004436379
Moscou,39,55.752218468,37.615557514
Bob,38,31.476008688,-92.273736886
Londres,38,51.508528044,-0.125738904
Bolivar,38,8.129227431,-63.540857081
Prix,37,44.526245637,2.016156529
Berlin,37,52.524366901,13.410526917
Romidaz,37,23.766667298,-80.4499966
Saint-Joseph,37,39.76860632,-94.846626574
Niger,36,17.99999702,8.999995798
Espagne,36,39.999998287,-3.99999861
Grande,36,36.670577233,-103.774405842
Marseille,35,43.296945723,5.381065934
Tite,33,11.783326174,-15.399997999
Chronique,32,45.521746299,-73.593999987
Pékin,32,40.567537425,-89.64065604
Dimanche,32,6.483327485,18.299995536
Hell-Gap,32,39.289988292,-106.554196169
—,31,,
République,30,18.999997282,-70.666667752
Puerto-Cabello,29,10.473055945,-68.012497277
Estevan,29,49.133368811,-102.984217461
Abyssinie,28,7.999998899,37.999998899
Grundtwig,28,55.837647888,13.296205561
Je,28,35.433938469,66.716099693
Nos,27,-33.649997169,-70.716667315
Angostura,27,8.129227431,-63.540857081
Cayor,27,15.249998549,-16.249999571
Sangha,27,-2.133326891,11.183328054
Irlande,27,52.999997195,-7.999999659
Perse,27,56.633325781,25.399996497
Pays,26,48.853408154,2.348798511
Missions,26,41.952519024,12.455135696
San,25,32.730069905,-117.195139914
Havre,25,49.493795828,0.107668884
Tunisie,25,33.999996714,8.999995798
Italie,25,42.833329363,12.833327136
Inde,24,19.999997544,76.999995622
Cest,24,-38.733326585,-72.595957051
Brazzaville,24,-4.266128631,15.283179741
Image,24,45.609007055,-122.582039392
Les,24,43.347435742,-7.11963928
Australie,23,-24.999996252,134.999997326
Ie,23,33.751389275,132.701389799
Seine,23,49.43471607,0.117496012
Suisse,22,47.000157608,8.014268269
Maroc,22,31.99999619,-4.999998872
Caracas,22,10.488008118,-66.879187345
Republique,22,,
porte,21,44.887136113,7.26981833
route,21,7.107615587,17.35750917
Etats-Unis,21,,
Japon,21,35.685358159,139.753087546
Rome,21,41.894739652,12.483897144
Etranger,21,,
Compagnie,21,51.082928811,5.273269
Indes,20,22.810785621,86.154586264
Guttor,20,13.841164566,100.777321173
Sénégal,20,13.999995972,-13.999996732
Batavia,20,-6.214617726,106.845127229
Ia,20,42.000268787,-93.500485527
Pacifique,20,48.440029836,1.465697875
Départements,20,20.552719497,-97.432776584
Lac,20,41.635558151,19.713059143
Alpes,20,46.416667385,9.99999606
Granville,19,-33.833328901,151.01666804
Rivières,19,45.752949282,0.361279879
Océan,19,34.711829048,-76.991329015
Imp,19,-22.719459122,-47.642975825
Yankee,19,36.945016879,-104.328036714
Batoche,19,52.733377854,-106.101117874
Tchad,19,14.999996234,18.999998419
détroit,18,42.331425901,-83.045748759
États-Unis,18,3.437066304,-53.396889735
Algérie,18,27.999999641,2.999998725
Sibérie,18,52.748325527,6.522218671
Brazza,18,16.788259047,-99.797829714
Portugal,18,39.499998156,-7.999999659
Mexique,18,22.999998331,-101.999997299
place,18,18.499997151,-73.399999702
Bénie,18,55.703595783,11.900159443
Vienne,18,48.208489383,16.372078615
Pakkington,18,52.728549782,-1.466156458
Tiassalé,18,5.898388391,-4.822926085
New-York,17,40.714269404,-74.005969929
Allemagne,17,51.499996802,10.499996191
Laos,17,17.99999702,104.999998462
Jonathan,17,44.267388108,-117.053496983
Ge,17,6.116668522,-9.616665699
Capitaine,17,-20.636386969,33.561106797
Étoile-Polaire,17,49.288677029,-71.487106948
Bangkok,16,13.753975803,100.501437154
Orient,16,45.467337127,-122.352586753
Sâtpoura,16,35.194537213,75.628769302
Schoa,16,19.111659374,72.835565665
Frederik,16,39.414267263,-77.410538815
Brésil,16,-9.99999682,-54.999998479
Isidore,16,15.318005514,73.91013781
Prague,16,50.088035596,14.420759271
Bangui,16,4.361216797,18.554956411
Saint-Louis,15,38.6272691,-90.197886593
Nijnii,15,56.328666816,44.00204779
Jean,15,,
Cap,15,49.64443796,5.984439892
Ja,15,26.19750909,127.676276217
Bordeaux,15,44.840439257,-0.58049555
Menelik,15,,
Belhumain,15,40.41782671,-3.696136074
Libertador,15,32.587468559,-114.80995557
Jaurreguy,15,,
Morillo,15,19.80047625,-70.898388189
Mort,14,45.360516606,-93.185499979
Société,14,,
Bustamente,14,26.533327791,-100.499996906
Mongo,14,12.184407083,18.693026659
Hollande,14,50.649999728,3.683326088
Washington,14,38.895107833,-77.036365518
I',14,,
Toulouse,14,43.604259452,1.44366783
Georgetown,14,6.804477487,-58.155266987
François,14,-11.008636315,-76.407798296
Andes,14,8.66666874,-70.999998173
Caucase,14,42.499998942,44.999996234
Athelstan,14,35.698128026,-90.17842582
Grande-Bretagne,14,54.758436654,-2.695307886
Côte,14,,
Maud,14,35.130359408,-96.775848379
Thibet,14,31.99999619,89.99999903
Sud,13,2.499997457,11.749998768
Arabie,13,15.499996365,47.49999689
Inez,13,28.903879433,-96.788037797
Pamir,13,37.999997763,72.999999074
Perez,13,-32.998346995,-60.767906147
Bruxelles,13,50.850447941,4.348776537
Societe,13,-34.965009978,-54.953526603
Spendthrift,13,,
Portalègre,13,39.293785955,-7.431218631
Zoulof,13,49.028217642,9.992306242
Roumanie,13,45.99999986,24.999999991
Apres,13,-34.71841836,-58.274168936
Pervenche,13,50.840418331,4.464668253
Hongrie,13,46.999995622,19.999998681
Birmanie,13,21.999998069,97.999996627
Porto-Novo,13,6.49645732,2.603588401
Borburata,13,8.599719181,-70.109167223
Lhassa,13,29.649998724,91.099998418
Nord,12,13.588089024,-2.42119671
Guinée,12,10.999999685,-9.999995683
Manche,12,-4.366667709,-79.749998216
Chicago,12,41.850027119,-87.650046183
Pavie,12,45.184456229,9.161445971
Alger,12,36.752496963,3.041966501
Din-Khou,12,2.016357874,112.940506838
Empire,12,37.638256863,-120.902149462
Harrar,12,9.309436702,42.125826782
Turkestan,12,43.333329494,68.249995579
Orléans,12,47.902885502,1.903886991
Tananarive,12,-18.913678839,47.536128683
Tunis,11,36.818969565,10.165788348
Lisbonne,11,38.716667167,-9.13332759
Lambert,11,34.201776809,-90.283428502
Berne,11,46.948088228,7.447435569
Californie,11,37.250215797,-119.75125959
Siberie,11,,
Ca,11,37.250215797,-119.75125959
Varsovie,11,52.229769043,21.011778898
Damel,11,33.862389925,74.336488476
PARIS,11,,
Vénézuéla,11,,
Indo-Chine,11,-6.225119794,106.803807396
Jacob,11,-4.165558055,13.292776866
Venezuela,11,7.999998899,-65.999996862
Dahomey,11,19.199995535,-72.283329293
Bretagne,11,45.987059008,-1.310407279
Corse,11,57.149996933,-2.749996033
Grappe,11,34.631758653,-92.652387286
Indou,11,-15.683329993,23.149998157
Buenos-Ayres,11,-34.613145701,-58.377227791
Turin,11,45.070485843,7.686818826
Trois,11,33.786756137,-84.383205575
Segou,11,,
Saint-Pierre,11,46.780905564,-56.171959981
Jardin,10,5.599016457,-75.819758977
Salanga,10,4.143449621,18.51946806
Grèce,10,38.999998025,21.999999205
Cambodge,10,12.99999571,104.999998462
II,10,36.249999554,52.33332849
Demerara,10,6.804477487,-58.155266987
Saint-Philippe,10,-21.358518889,55.767945709
Dyck,10,51.285509835,6.2886174
Quatrefages,10,43.9034874,1.906136792
Maison-Seule,10,35.309717992,0.129437952
Oural,10,46.999995622,51.799999816
Loango,10,31.329609679,-86.648849027
Kouldja,10,,
Prance,10,48.033328926,0.299999817
Samoa,10,-13.803099841,-172.178307825
Victoria,10,48.432938466,-123.369298532
Maures,10,44.690089598,0.803977595
Jai,10,35.078937971,72.038249917
San-Francisco,10,37.774927735,-122.419419323
Lhaga,10,29.700997198,93.800996237
Corée,10,36.999997501,127.499999859
Decken,9,50.689699706,9.004729378
Onilahy,9,-23.566666442,43.749998157
Suez,9,29.973708999,32.526266127
Turbigo,9,45.531366445,8.741835706
Alaska,9,64.000279053,-150.000279856
Biscarrat,9,44.337810167,4.978389839
Martinique,9,14.666665813,-60.999995552
Valdez,9,1.249166953,-78.983059273
Deux,9,-36.894807731,-60.325298423
Dix,9,32.101228207,-101.865409742
Géographie,9,,
Crampel,9,6.989609059,19.187438286
Singapour,9,1.366669526,103.799999947
Madeleine,9,50.646026581,3.075848494
Clorinde,9,46.775825514,-56.151108832
Saint-Nicolas,9,50.628365648,5.532428002
Général,9,10.629597054,124.446998276
Finlande,9,63.999995578,25.999995754
Ires,9,-9.654067517,-35.707397963
Moyen,9,49.69965706,5.381529393
Viritou,9,12.290309686,124.353325589
Chili,9,-29.999997562,-70.999998173
Atchinoff,9,,
Tofa,9,6.466669963,2.866666556
Sanchez,9,19.228095541,-69.61369819
Turquie,9,39.059005789,34.911549462
Atlantique,9,40.641767338,-73.170668552
Loanda,9,-8.836818538,13.234318053
Belgique,9,50.83332696,3.999998987
Kioto,9,35.021068607,135.753846931
Ala,9,48.837767542,10.09329978
Tadjourah,9,11.999999947,42.499995579
Méditerranée,9,43.092857333,-0.0540467659995
Li,9,11.333325607,-2.366666049
Iñez,9,,
Caspienne,9,50.713007637,4.382487546
Biskra,9,34.666666555,5.416666775
Yacouli,9,24.521439321,116.031399559
Amerique,9,,
Annam,9,15.952696693,120.856897354
Botletie,9,,
Champagne,9,48.021845945,0.33095707
Gest,9,38.417569708,-84.882728749
Tamatave,8,-18.149196677,49.40233808
Mulassa,8,-8.603878708,14.72288946
Tours,8,47.383325606,0.683329801
Velez,8,6.01334869,-73.67351693
Senegal,8,,
Portalegre,8,,
Unis,8,10.335426658,-61.272018913
Le.,8,3.816666119,12.499996715
Bosnie,8,45.045868527,18.404017305
Normandie,8,40.379827582,-73.975138665
Champsac,8,45.702796733,0.957287991
Roi,8,18.766665988,-72.433327982
Arcachon,8,44.649998156,-1.166667534
Siam,8,14.999996234,99.999997151
Caire,8,30.062625608,31.249666409
Libreville,8,0.39240698,9.45355555
Oui,8,7.149997326,-8.483328769
Carte,8,44.114838145,9.838068929
avenue,8,38.256236525,-76.767748355
Schilka,8,51.849998243,116.033329887
Zanzibar,8,-6.163938723,39.197927598
Seville,8,37.382409566,-5.976128753
Sumatra,8,-3.19799954696e-06,101.999997675
Sagoutier,8,45.30344817,4.237528409
Bouddha,8,34.018395582,35.649389487
Cassard,8,46.999266687,-2.242477069
Milan,8,45.464268399,9.189509981
Obock,8,11.963058225,43.290557426
Irtych,8,47.825879335,84.48363704
Suède,8,61.999999554,14.99999737
Mékong,8,37.966916698,-121.293677719
