LOC,FREQ,LAT,LON
Paris,252,48.853408154,2.348798511
île,213,47.204907439,-1.548499151
Amérique,200,14.932997179,10.160298835
France,198,45.99999986,1.999998463
mer,129,47.705546513,1.506207781
Afrique,122,7.188099945,21.093748124
Europe,117,48.69095907,9.140617319
Inde,91,19.999997544,76.999995622
Lagarto,78,-10.917217928,-37.649997081
détroit,69,42.331425901,-83.045748759
Chine,65,34.999996976,104.999998462
Bengali,63,31.628729636,74.884098883
Angleterre,62,52.160448194,-0.703118668
New,56,38.427846796,-84.810496659
Manche,56,-4.366667709,-79.749998216
Californie,53,37.250215797,-119.75125959
Sorcière,53,13.966667429,-60.899996425
Gustave,51,45.281098653,-103.975209523
Marne,50,34.00556722,-117.906445794
San,49,32.730069905,-117.195139914
Guyane,43,4.999998113,-58.999999527
Artagnan,43,43.402969814,0.0759961950004
Nora,42,59.519257189,15.03978734
Meuse,41,47.992517548,5.551717791
Londres,41,51.508528044,-0.125738904
Océan,41,34.711829048,-76.991329015
Indes,40,22.810785621,86.154586264
Océanie,40,-18.312806659,138.515616357
Japon,38,35.685358159,139.753087546
Bornéo,37,0.999997064,113.999996321
Asie,35,29.840637807,89.296877923
Pyrénées,34,12.133327616,-61.666669893
Australie,33,-24.999996252,134.999997326
place,32,18.499997151,-73.399999702
New-York,32,40.714269404,-74.005969929
Edgard,32,30.043259327,-90.560086452
Atlantique,32,40.641767338,-73.170668552
Espagne,30,39.999998287,-3.99999861
Calcutta,30,22.562628142,88.36303979
Pacifique,29,48.440029836,1.465697875
Industrie,29,18.041118871,-63.069717389
Russie,28,59.999999029,99.999997151
Hindoustan,27,38.665605698,-86.604437968
Macao,26,22.200558771,113.546108098
—,26,,
États-Unis,25,3.437066304,-53.396889735
Cayenne,25,4.933327529,-52.333328113
Santiago,25,-33.456937301,-70.648268885
Orne,25,35.149995666,24.666669571
Township,24,-9.483325668,147.14999916
Neddy-Neddy,24,35.951208068,-83.070987019
Ohio,23,40.250338072,-83.000176802
Tom,23,33.735946646,-94.572987856
Hollande,23,50.649999728,3.683326088
Rhin,22,46.050458382,4.109919733
Morbihan,21,30.011865613,-91.774555683
San-Francisco,21,37.774927735,-122.419419323
Monténégro,21,42.499998942,19.299995798
Loire,20,29.109965645,-98.395569648
Puy-de-Dôme,20,45.772518046,2.964078412
Tranquille,20,19.083329888,-72.466665524
Haute-Marne,20,19.699995666,-72.683325798
Allemagne,20,51.499996802,10.499996191
Nancy,20,48.683327747,6.199997764
Hindou,19,58.052216371,22.211106972
Sa,19,-29.999997562,134.999997326
Meurthe-et-Moselle,19,48.58332862,6.166669221
Washington,19,38.895107833,-77.036365518
Algérie,19,27.999999641,2.999998725
Sibérie,19,52.748325527,6.522218671
Nièvre,19,50.008797627,2.048805632
Pyrénées-Orientales,19,42.499998942,2.249996278
Bretagne,19,45.987059008,-1.310407279
Grand-Esprit,19,46.183358589,-72.499107645
Salvador,18,-12.97110567,-38.510829193
Mississipi,18,32.7504081,-89.750356306
Orient,18,45.467337127,-122.352586753
côtes,18,39.070097304,-0.574488583
Ile,18,,
Khiva,18,41.378329477,60.363887375
Colorado,18,39.000268001,-105.500826143
