LOC,FREQ,LAT,LON
France,486,45.99999986,1.999998463
Paris,323,48.853408154,2.348798511
Pageno,220,2.525249216,31.564458475
Pays,148,48.853408154,2.348798511
Allemagne,119,51.499996802,10.499996191
Article,117,38.766675729,-121.226656166
Europe,114,48.69095907,9.140617319
Médine,104,24.468609509,39.614167661
Barbichon,98,49.007577973,1.084329717
Afrique,98,7.188099945,21.093748124
Asie,94,29.840637807,89.296877923
mer,93,47.705546513,1.506207781
Chine,92,34.999996976,104.999998462
porte,90,44.887136113,7.26981833
Soudan,84,17.99999702,-1.999998086
Japon,81,35.685358159,139.753087546
Sophie,80,18.21805667,-72.776939991
Niger,78,17.99999702,8.999995798
Marcel,76,35.190235595,-118.517307088
Amérique,72,14.932997179,10.160298835
Boubou,71,13.524676151,-11.447989691
Klondike,68,64.050859065,-139.441966778
Samory,61,31.040109868,31.374876798
Angleterre,61,52.160448194,-0.703118668
Lorraine,59,45.683376456,-73.782488261
Michon,57,34.701668949,126.595557618
Cuba,57,21.999998069,-79.499995901
place,55,18.499997151,-73.399999702
Congo,54,-0.99999896,14.99999737
Claude,53,35.111717563,-101.363218305
Russie,53,59.999999029,99.999997151
Sambala,53,13.000697647,-9.59129695
Loire,52,29.109965645,-98.395569648
Mossi,50,6.96389834,-5.809027081
Maceo,49,6.551959895,-74.787415585
Jura,48,49.533018847,-120.452445868
Merville,47,50.643286324,2.64124556
Lyon,47,45.748458681,4.846706852
Espagne,44,39.999998287,-3.99999861
Niagara,44,43.083417171,-79.066265889
Sa,44,-29.999997562,134.999997326
Marseille,43,43.296945723,5.381065934
—,41,,
Nord,40,13.588089024,-2.42119671
A,39,,
Ouagadougou,39,12.365659999,-1.533879948
États-Unis,39,3.437066304,-53.396889735
Vienne,37,48.208489383,16.372078615
Baye,36,19.499997413,-72.016669456
Orient,36,45.467337127,-122.352586753
Ponton,35,20.649996365,-76.816668014
Sud,35,2.499997457,11.749998768
Image,34,45.609007055,-122.582039392
Côte,33,,
Italie,33,42.833329363,12.833327136
Suisse,33,47.000157608,8.014268269
Porte,32,,
Meuse,32,47.992517548,5.551717791
Verdun,31,49.166665856,5.383329233
Imp,31,-22.719459122,-47.642975825
Rhin,31,46.050458382,4.109919733
Ile,30,,
Bravo,30,18.299998899,-102.783328288
Tonkin,30,39.939087192,-116.411457956
Londres,30,51.508528044,-0.125738904
Madagascar,30,-19.999999441,46.999996759
Kanak,30,38.520147106,41.440177625
Nancy,30,48.683327747,6.199997764
Vosges,30,48.499996015,7.166669483
Latapie,30,15.966667954,-61.633327851
Charlie,29,34.096198178,-98.315598245
Ia,29,42.000268787,-93.500485527
Los,29,14.704169985,-17.161668172
Yukon,29,62.99961735,-135.00403759
Nil,28,30.166669876,31.099996191
Saint-Louis,28,38.6272691,-90.197886593
Belfort,28,47.633327921,6.866667605
Attel,27,48.023915762,12.176277441
Bagdad,27,33.34057573,44.400878899
Moselle,26,32.629296847,-97.353907583
Rome,25,41.894739652,12.483897144
Sahara,25,25.999999117,12.999996846
Saint-Joseph,25,39.76860632,-94.846626574
El,25,27.96203651,86.933696627
Est,24,12.06307985,0.363489183
Feu,24,18.249999336,-72.866666529
Tchad,23,14.999996234,18.999998419
Australie,23,-24.999996252,134.999997326
Ton,23,46.265309817,11.087977015
Ako,23,34.749999161,134.399998068
Massif,23,37.954376311,23.689626271
Ik,23,54.606597628,53.25829791
Alsace,23,33.978619111,-118.41562961
Compagnie,22,51.082928811,5.273269
Bergedorf,22,53.48461769,10.229039235
